user,text,favorite_count,retweet_count,created_at
seawatch_intl,"We call on #Malta to live up to their responsibility and act immediately to ensure the safety of these people. Lives are at stake.
(3/3) https://t.co/uWGkW3TrkE",32,9,2023-03-24 18:06:46+00:00
seawatch_intl,"We have forwarded all the boats to the Maltese rescue coordination center but have not received any response so far. We also contacted the Libyan rescue coordination center, but no one there is able to speak English.
(2/3) https://t.co/lWSbW8pYWn",40,12,2023-03-24 18:06:12+00:00
seawatch_intl,"Our #Seabird reconnaissance aircraft found 17 boats in distress in the central Mediterranean today. Many are built of sheet metal, some of them unable to maneuver without a running engine.
(1/3) https://t.co/GfHbftQ0Tu",90,34,2023-03-24 18:01:29+00:00
seawatch_intl,"In 45 countries in Africa and the Middle East, #LGBTQIA+ people are persecuted. In #Uganda, the law is now being drastically tightened. For many people, the only chance of a free &amp; self-determined life remains the dangerous flight across the central Mediterranean. https://t.co/XigIS9GQbe",29,10,2023-03-23 17:59:11+00:00
seawatch_intl,"(2/2)
Today &amp; every day, we support people affected by racism and fight against racist societal structures. For a world where people do not have to fear violence and discrimination. #InternationalDayAgainstRacism",23,9,2023-03-21 18:12:10+00:00
seawatch_intl,"(1/2)
Daniel*(name changed) talks about the racism he experienced in Libya. Anti-black racism causes exclusion, calculated deaths, murders, and racist police violence worldwide. The list of victims is endless and shows that racism is global and omnipresent. https://t.co/u2n43rwQb1",92,49,2023-03-21 18:11:55+00:00
seawatch_intl,Let's listen to the people affected and learn how to become active together against #racism - not only today on March 21 but every day.,22,5,2023-03-21 11:45:10+00:00
seawatch_intl,"For decades, activists and survivors of racist violence have been fighting racist structures of oppression and demanding justice. Today, on the International Day against #Racism, we stand in solidarity with all victims of racist violence.",24,6,2023-03-21 11:45:09+00:00
seawatch_intl,The #EU's racist border regime is killing: More than 331 people have already lost their lives this year in the central Mediterranean. Drowned because Europe didn't want to rescue them. Drowned because they had the supposedly wrong skin color or passport. https://t.co/YRYVqEbrJH,284,159,2023-03-21 11:45:09+00:00
seawatch_intl,Civil sea rescue is urgently needed in the Central Mediterranean Sea! Our shipyard crew is putting all its energy into the conversion work so that we can soon leave the port of Flensburg with the Sea-Watch 5. Support the work with your donation! https://t.co/oEVY8pHcS6 https://t.co/a6Rc1Ayo4Z,34,8,2023-03-20 16:00:11+00:00
seawatch_intl,"In Tunisia Talks, the #EU must privilege #HumanRights over politics and their interests in migration control now. More info: https://t.co/NNIyN8nM0U",3,3,2023-03-20 14:49:20+00:00
seawatch_intl,"Last week, also the European Parliament voted overwhelmingly in favor of an urgent resolution condemning the crackdown on judicial independence, freedom of expression, and association in #Tunisia.",3,1,2023-03-20 14:49:19+00:00
seawatch_intl,"An open letter of @Amnestyintl, @HRW, @EuroMedRights and @ICJ_org called on @JosepBorrellF and the respective Ministers of Foreign Affairs of all #EU member states to publicly press the Tunisian authorities to reverse their crackdown: https://t.co/UWDIR3to9y",2,1,2023-03-20 14:49:19+00:00
seawatch_intl,"In #Tunesia talks, the #EU has to focus on human rights instead of enhancing further externalization policies, paying Tunisia to seal off EU borders, keep people in overcrowded reception centers, and take over European migration control.",1,1,2023-03-20 14:49:18+00:00
seawatch_intl,"After a hateful speech by president Saied, violence against people of color and migrants escalated in the streets of #Tunis, and numerous people were seriously injured during recent racist attacks.",1,1,2023-03-20 14:49:18+00:00
seawatch_intl,"In the past few weeks, #Tunisia's President Kais Saied's government has rounded up opponents, curbed judicial independence, crushed freedom of expression, and incited hatred against people of color, migrants, and people on the move.",1,1,2023-03-20 14:49:17+00:00
seawatch_intl,"Today is the Foreign Affairs Council meeting, where #EU foreign affairs ministers will discuss the latest violent crackdowns in #Tunisia. Recent #EU statements have failed to acknowledge, let alone condemn, the country's rapidly deteriorating human rights situation.",15,3,2023-03-20 14:49:17+00:00
seawatch_intl,At least 331 people drowned in the first 76 days of 2023 according to @UNmigration. The European policy of sealing off and blocking civilian #SeaRescue will not lead to fewer people fleeing but to more deaths at Europe's borders. We demand safe and legal routes to Europe now! https://t.co/l7vVp3LJW4,139,86,2023-03-17 18:37:15+00:00
seawatch_intl,“You have blood on your hands. We do not just demand safe and legal escape routes. We demand that those involved are held accountable for their actions.” - Airborne Tactical Coordinator Samira about the distress case leaving 30 people dead on the weekend: https://t.co/smPBF7g3Mi,181,83,2023-03-15 16:20:10+00:00
seawatch_intl,"Fatal delays: 30 lives lost due to European non-assistance!

Our reconstruction of the incident using original audio of the communications between our aircraft #Seabird, merchant vessels near the boat in distress, as well as Libyan and Italian rescue coordination centers: https://t.co/3GT3i2ZfCi",119,71,2023-03-14 17:02:42+00:00
seawatch_intl,https://t.co/BElnAHhprv,28,14,2023-03-14 13:54:27+00:00
seawatch_intl,"🔴 Joint statement: Again, 30 people drowned due to deliberate delays in European rescue activity. Only 2 weeks after the politically induced shipwreck off #Crotone. Together with @alarm_phone &amp; @RescueMed, we demand a European sea rescue program &amp; safe migration routes for all. https://t.co/772mMjWDy4",333,182,2023-03-14 11:52:06+00:00
seawatch_intl,"@alarm_phone No rescue is initiated overnight. In the early morning of March 12, the boat of which all the relevant authorities were aware capsizes while the merchant ship FROLAND rescues 17 people. 30 people remain missing. #Italy, #Europe - these deaths are on you.

(8/8)",269,74,2023-03-13 17:54:00+00:00
seawatch_intl,"@alarm_phone At 5.02 pm, we call #Rome again and ask who is now taking responsibility for the rescue. We do not get an answer; the Italian rescue coordination center hangs up. At this point, 47 people are in immediate danger of drowning.

(7/8) https://t.co/pVG2xKoKKi",569,258,2023-03-13 17:53:26+00:00
seawatch_intl,"@alarm_phone At 4.51 pm, we reach someone in #Libya again. We get confirmation: The patrol boats in Benghazi are not equipped for the weather conditions. Libya cannot rescue, will not rescue, and is not coordinating a rescue by the Basilis L merchant ship.

(6/8)",97,23,2023-03-13 17:52:23+00:00
seawatch_intl,"@alarm_phone At the same time, via radio, #Seabird2 reaches the merchant ship Basilis L in the vicinity of the boat in distress. It has already received instructions from #Italy to listen only to the so-called Libyan Coast Guard. We do not learn whether a rescue will be initiated.

(5/8)",88,18,2023-03-13 17:51:53+00:00
seawatch_intl,"@alarm_phone We call the rescue coordination center in Libya. The port authority in Benghazi cannot be reached, and it turns out that so far, neither #Italy nor #Libya is organizing the urgently needed rescue of the 47 people. Italy does not react to this information.

(4/8)",93,18,2023-03-13 17:51:18+00:00
seawatch_intl,"@alarm_phone Immediately two emails are sent to the Italian rescue coordination center in #Rome. As the boat is in the Libyan search and rescue zone, #Italy wants nothing to do with the rescue and refers to the so-called Libyan Coast Guard.

(3/8)",95,18,2023-03-13 17:50:48+00:00
seawatch_intl,"Saturday morning, 10.32 am: 9 hours after @alarm_phone reported the first distress call, our Airborne crew sights the boat with 47 people on board. 2 minutes later, #Seabird2 sends a Mayday Relay to all stations. The coordinates are given. A rescue is urgent.

(2/8)",97,18,2023-03-13 17:50:27+00:00
seawatch_intl,"The boat in distress at sea was known to the authorities and ended deadly. While the Italian government obstructs civil sea rescue, and its own Coast Guard is visibly overwhelmed, distress calls go unanswered. #Italy watched 30 people drown!
A thread

(1/8) https://t.co/y2aeZz0pB5",681,361,2023-03-13 17:50:06+00:00
seawatch_intl,Read more here: https://t.co/GvilkcLsP3,50,16,2023-03-12 19:32:39+00:00
seawatch_intl,"Only 17 of the people in this picture were rescued by a merchant vessel, and 30 are missing. The case was known to the authorities for over 24 hours. They just knowingly let them drown. https://t.co/du5qTP6WBA",462,324,2023-03-12 19:32:38+00:00
seawatch_intl,"The words should not only be addressed to the Italian Interior Minister #Piantedosi, but to the whole Italian #government, the whole #European Union. They are watching people drowning. https://t.co/OTpCUe9BpW",17,10,2023-03-12 11:44:35+00:00
seawatch_intl,"At a memorial event on #Lampedusa, all those who lost their lives at Europe's external borders in the fight for freedom were remembered. The occasion was a dead body found on the beach a few days ago. https://t.co/PGuhaEws0L",85,40,2023-03-12 11:44:05+00:00
seawatch_intl,"The people must be rescued now before more people die trying to reach safety. Italy and the EU countries must assume responsibility for sea rescue and protect the lives of people on the move. Now, immediately, in this case. In general, in every case.",66,26,2023-03-11 17:16:41+00:00
seawatch_intl,"After calling the Libyan rescue center, they confirmed they would not send a ship. When we reach the Italian MRCC again with the question of who will take over coordination and responsibility for the people, the officer in charge hangs up. https://t.co/cMVcqWIVMO",79,44,2023-03-11 17:16:40+00:00
seawatch_intl,"🔴 Time is running out to rescue ~50 people on board this boat. The distress case is drifting in the high waves. A nearby merchant ship is not equipped for rescues and has been ordered by Italian authorities to wait for the sc. Libyan Coast Guard, but they do not come. https://t.co/5VNPPbcKPk",227,107,2023-03-11 17:16:39+00:00
seawatch_intl,"For three days in a row, our #Airborne crew flew to the maximum and was able to sight 41 boats in distress. With them, overstretching, miscalculations and inaction on the part of the authorities became visible. Our Tactical Coordinator Leona on the situation in the Central Med: https://t.co/SwkJCFPkpb",75,35,2023-03-11 15:51:03+00:00
seawatch_intl,https://t.co/VtZqlEViqY,18,8,2023-03-10 18:33:10+00:00
